"id";"title";"pages";"year";"date";"url";"conference_name";"count"
35;"Automated Attribute Inference in Complex Service Workflows Based on Sharing Analysis.";"120-127";2011;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2011.85";"IEEE SCC";0
36;"Supporting Strategic Decision Making on Service Evolution Context Using Business Intelligence.";"240-247";2013;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2013.25";"IEEE SCC";0
37;"Cost-Effective Semantic Annotation of XML Schemas and Web Service Interfaces.";"372-379";2009;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2009.17";"IEEE SCC";0
38;"Building a Service-Oriented Monitoring Framework with REST and Nagios.";"426-431";2011;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2011.53";"IEEE SCC";0
39;"QRA: A Quality Requirements Analysis Approach for Service Systems.";"25-32";2013;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2013.48";"IEEE SCC";0
40;"Towards Scaleable and Adaptive Document Routing Services.";"311-314";2006;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2006.108";"IEEE SCC";0
41;"A Fault-Tolerant Middleware Architecture for High-Availability Storage Services.";"286-293";2007;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2007.4";"IEEE SCC";0
42;"Dynamic Service Composition in Ambient Intelligence Environment.";"411-418";2009;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2009.16";"IEEE SCC";0
43;"Web Services - A View from the Top.";"not available";2006;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2006.115";"IEEE SCC";0
44;"Governance of Cross-Organizational Service Agreements: A Policy-Based Approach.";"36-43";2007;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2007.63";"IEEE SCC";0
45;"Universal Identity Management Model Based on Anonymous Credentials.";"305-312";2010;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2010.46";"IEEE SCC";0
46;"Ensuring Coordination of Multi-business Interactions.";"356-363";2009;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2009.82";"IEEE SCC";0
47;"Toward Intention Aware Semantic Web Service Systems.";"69-76";2005;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2005.99";"IEEE SCC";0
48;"Déjà Vu: Assessing Similarity between Service Contracts for Risk Prediction.";"147-154";2014;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2014.28";"IEEE SCC";0
49;"A Dataflow-Pattern-Based Recommendation Approach for Data Service Mashups.";"163-170";2014;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2014.30";"IEEE SCC";0
50;"iPOJO: an Extensible Service-Oriented Component Framework.";"474-481";2007;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2007.74";"IEEE SCC";0
51;"A Conceptual Model of Agent Mediated Web Service.";"638-642";2004;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2004.1358081";"IEEE SCC";0
52;"Configuration Reasoning and Ontology ForWeb.";"387-394";2007;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2007.44";"IEEE SCC";0
53;"Agent based Resource Brokering and Allocation in Wireless Grids.";"331-334";2006;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2006.17";"IEEE SCC";0
54;"Towards Self-Aware Performance and Resource Management in Modern Service-Oriented Systems.";"621-624";2010;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2010.94";"IEEE SCC";0
55;"A Policy-Based Approach for QoS Specification and Enforcement in Distributed Service-Oriented Architecture.";"307-310";2005;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2005.15";"IEEE SCC";0
56;"Dynamic Architecture for Autonomously Managing Service-Based Applications.";"515-522";2012;"2012-10-08";"http://dx.doi.org/10.1109/SCC.2012.78";"IEEE SCC";0
57;"IoT Mashup as a Service: Cloud-Based Mashup Service for the Internet of Things.";"462-469";2013;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2013.68";"IEEE SCC";0
58;"Executable Modeling Approach to Service Oriented Architecture Using SoaML in Conjunction with Extended DEVSML.";"243-250";2014;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2014.40";"IEEE SCC";0
59;"Leveraging Context Aware Services to Transform Evolving Telecom Industry Business Model.";"668-669";2007;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2007.76";"IEEE SCC";0
60;"Supporting Heterogeneous Applications with Service Oriented Architecture.";"680-681";2007;"2015-12-02";"http://doi.ieeecomputersociety.org/10.1109/SCC.2007.115";"IEEE SCC";0
